date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients,icu_patients_per_million,stringency_index,reproduction_rate,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,year,month,day,country_South Korea,code_KOR,continent_Asia
2021-04-05,106225.0,2051.3699,1748.0,33.756596,97.0,1.872,58.33,1.1554,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,5,True,True,True
2021-04-06,106893.0,2064.2698,1752.0,33.833843,112.0,2.162,58.33,1.1864,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,6,True,True,True
2021-04-07,107593.0,2077.788,1756.0,33.911087,109.0,2.104,58.33,1.1973,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,7,True,True,True
2021-04-08,108263.0,2090.7268,1758.0,33.94971,112.0,2.162,58.33,1.1771,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,8,True,True,True
2021-04-09,108940.0,2103.8005,1764.0,34.065582,113.0,2.181,58.33,1.1593,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,9,True,True,True
2021-04-10,109554.0,2115.658,1765.0,34.084892,108.0,2.084,58.33,1.1364,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,10,True,True,True
2021-04-11,110141.0,2126.994,1768.0,34.142826,105.0,2.026,58.33,1.1373,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,11,True,True,True
2021-04-12,110683.0,2137.4607,1770.0,34.18145,103.0,1.988,58.33,1.1115,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,12,True,True,True
2021-04-13,111414.0,2151.5774,1775.0,34.278008,101.0,1.949,58.33,1.0964,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,13,True,True,True
2021-04-14,112112.0,2165.057,1782.0,34.41319,100.0,1.93,58.33,1.0722,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,14,True,True,True
2021-04-15,112785.0,2178.0535,1788.0,34.529057,99.0,1.911,58.33,1.0514,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,15,True,True,True
2021-04-16,113443.0,2190.7605,1790.0,34.56768,111.0,2.142,58.33,1.0443,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,16,True,True,True
2021-04-17,114114.0,2203.7185,1794.0,34.644928,108.0,2.084,58.33,1.0587,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,17,True,True,True
2021-04-18,114646.0,2213.9924,1797.0,34.70286,102.0,1.969,58.33,1.0504,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,18,True,True,True
2021-04-19,115195.0,2224.5945,1801.0,34.78011,99.0,1.911,58.33,1.053,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,19,True,True,True
2021-04-20,115926.0,2238.7112,1802.0,34.79942,109.0,2.104,58.33,1.0591,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,20,True,True,True
2021-04-21,116661.0,2252.905,1806.0,34.876667,116.0,2.239,58.33,1.0804,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,21,True,True,True
2021-04-22,117458.0,2268.2964,1808.0,34.915287,125.0,2.412,58.33,1.0965,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,22,True,True,True
2021-04-23,118235.0,2283.3015,1811.0,34.973225,127.0,2.451,58.33,1.0718,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,23,True,True,True
2021-04-24,118879.0,2295.7383,1812.0,34.992535,136.0,2.625,58.33,1.0183,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,24,True,True,True
2021-04-25,119378.0,2305.3748,1813.0,35.01185,136.0,2.625,58.33,0.9845,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,25,True,True,True
2021-04-26,119890.0,2315.2622,1817.0,35.089092,132.0,2.547,58.33,0.9757,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,26,True,True,True
2021-04-27,120659.0,2330.1128,1820.0,35.147026,156.0,3.011,58.33,0.9886,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,27,True,True,True
